doc_name	sentence	pictos_ref_ids	sense_keys
doc1	avez vous une toux sèche	[[9001], [2608], [8474], [35585], []]	[['be%2:42:00::', 'exist%2:42:00::'], [], [], ['cough%1:26:00::', 'coughing%1:26:00::'], []]
doc1	avez vous des allergies connues	[[9001], [2608], [8477], [5372], [9853,5526]]	[['be%2:42:00::', 'exist%2:42:00::'], [], [], ['allergic_reaction%1:26:00::', 'allergy%1:26:00::'], ['unknown%3:00:00::', 'no%1:10:00::', 'no%4:02:00::', 'no%4:02:01::']]
doc1	est ce sanglant quand vous toussez	[[5858], [], [2803], [22621], [2608], [3406]]	[['be%2:42:03::', 'be%2:42:06::'], [], ['blood%1:08:00::'], [], [], ['cough%2:29:00::']]
doc1	à combien était votre température la dernière fois que vous l'avez mesurée	[[7041], [7073], [5858], [12285], [8230], [8476], [9839], [27385], [11351], [2608], [8476], [], [29830]]	[[], ['amount%1:03:00::', 'measure%1:03:00::', 'quantity%1:03:00::', 'interrogation%1:10:01::', 'interrogative%1:10:00::', 'interrogative_sentence%1:10:00::', 'question%1:10:03::'], ['be%2:42:03::', 'be%2:42:06::'], [''], ['temperature%1:07:00::'], [], ['past%3:00:00::'], ['play%1:04:01::', 'turn%1:04:06::', 'in_one_case%4:02:00::', 'once%4:02:00::', 'one_time%4:02:00::', 'sometime%4:02:00::', 'clip%1:11:00::', 'time%1:11:00::'], [''], [], [], [], ['measure%2:31:00::', 'measure_out%2:31:00::', 'mensurate%2:31:00::', 'thermometry%1:04:00::']]
doc1	êtes vous confus	[[5858], [2608], [2352]]	[['be%2:42:03::', 'be%2:42:06::'], [], ['confused%3:00:00::', 'confused%5:00:00:unoriented:00', 'disoriented%5:00:00:unoriented:00', 'lost%5:00:00:unoriented:00']]
doc1	avez vous des boutons sur la peau	[[9001], [2608], [8477], [26616], [7814], [8476], [2840]]	[['be%2:42:00::', 'exist%2:42:00::'], [], [], ['acne%1:26:00::', 'papule%1:26:00::', 'pustule%1:26:00::'], [''], [], ['cutis%1:08:00::', 'skin%1:08:00::', 'tegument%1:08:00::']]
doc1	pouvez vous énumérer ou écrire les noms de médicaments auxquels vous êtes allergiques	[[11750], [2608], [11327], [11317], [2380], [8477], [27357], [7074], [8163], [11351], [2608], [5858], [31662]]	[[''], [], ['checklist%1:10:00::', 'roll_call%1:04:00::', 'check%2:31:00::', 'check_into%2:31:00::', 'check_out%2:31:00::', 'check_over%2:31:00::', 'check_up_on%2:31:00::', 'go_over%2:31:01::', 'look_into%2:31:00::', 'suss_out%2:31:00::'], [], ['write%2:36:01::', 'write%2:32:00::', 'writing%1:10:01::'], [], ['first_name%1:10:00::', 'forename%1:10:00::', 'given_name%1:10:00::', 'name%1:10:00::'], [], ['medicament%1:06:00::', 'medication%1:06:00::', 'medicinal_drug%1:06:00::', 'medicine%1:06:00::', 'intervention%1:04:02::', 'treatment%1:04:00::'], [''], [], ['be%2:42:03::', 'be%2:42:06::'], ['allergic_reaction%1:26:00::', 'allergy%1:26:00::', 'allergic%5:00:00:susceptible:00', 'hypersensitised%5:00:00:susceptible:00', 'hypersensitive%5:00:00:susceptible:00', 'hypersensitized%5:00:00:susceptible:00', 'sensitised%5:00:00:susceptible:00', 'sensitized%5:00:00:susceptible:00', 'supersensitised%5:00:00:susceptible:00', 'supersensitive%5:00:00:susceptible:00', 'supersensitized%5:00:00:susceptible:00']]
doc1	votre coeur bat il de manière anormale	[[12285], [2715], [3293], [], [7074], [5504], [5504]]	[[''], ['heart%1:08:00::', 'pump%1:08:00::', 'ticker%1:08:00::'], ['adjoin%2:35:03::', 'contact%2:35:03::', 'meet%2:35:00::', 'touch%2:35:01::', 'touch%2:35:00::', 'touch%2:39:00::', 'touch%2:35:04::'], [], [], ['bad%3:00:00::'], ['bad%3:00:00::']]
doc1	nous vous contacterons par téléphone pour les résultats	[[7185], [2608], [4686], [7212], [2791], [7194], [8477], [9899]]	[[], [], ['call%2:32:09::', 'cry%2:32:01::', 'holler%2:32:05::', 'hollo%2:32:00::', 'scream%2:32:01::', 'shout%2:32:01::', 'shout_out%2:32:00::', 'squall%2:32:00::', 'yell%2:32:01::'], [], ['phone%1:06:00::', 'telephone%1:06:00::', 'telephone_set%1:06:00::'], [], [], ['information%1:09:00::']]
doc1	vous devez porter un masque	[[2608], [15525], [36806], [36806], [36806]]	[[], ['compel%2:41:00::', 'obligate%2:41:00::', 'oblige%2:41:00::'], ['female_child%1:18:00::', 'girl%1:18:02::', 'little_girl%1:18:00::', 'have_on%2:29:00::', 'wear%2:29:00::'], ['female_child%1:18:00::', 'girl%1:18:02::', 'little_girl%1:18:00::', 'have_on%2:29:00::', 'wear%2:29:00::'], ['female_child%1:18:00::', 'girl%1:18:02::', 'little_girl%1:18:00::', 'have_on%2:29:00::', 'wear%2:29:00::']]
doc1	bonjour je suis le docteur	[[6009], [2617], [5858], [8476], [2467]]	[['hello%1:10:00::', 'hi%1:10:00::', 'how-do-you-do%1:10:00::', 'howdy%1:10:00::', 'hullo%1:10:00::'], [], ['be%2:42:03::', 'be%2:42:06::'], [], ['doc%1:18:00::', 'doctor%1:18:00::', 'dr.%1:18:00::', 'md%1:18:00::', 'medico%1:18:00::', 'physician%1:18:00::']]
doc1	je vais m'occuper de vous aujourd'hui	[[2617], [7079], [], [25355], [7074], [2608], [7131], [7131]]	[[], ['direction%1:15:00::', 'way%1:15:00::', 'interrogation%1:10:01::', 'interrogative%1:10:00::', 'interrogative_sentence%1:10:00::', 'question%1:10:03::', 'go%2:38:00::', 'locomote%2:38:00::', 'move%2:38:03::', 'travel%2:38:00::', 'channelise%2:38:03::', 'channelize%2:38:03::', 'direct%2:38:03::', 'guide%2:38:01::', 'head%2:38:01::', 'maneuver%2:38:00::', 'manoeuver%2:38:00::', 'manoeuvre%2:38:00::', 'point%2:38:05::', 'steer%2:38:00::'], [], ['advert%2:39:00::', 'attend%2:39:00::', 'give_ear%2:39:00::', 'hang%2:39:00::', 'pay_heed%2:39:00::', 'hear%2:39:05::', 'listen%2:39:01::', 'take_heed%2:39:00::'], [], [], ['today%4:02:00::'], ['today%4:02:00::']]
doc1	je vais vous poser des questions avec cet appareil	[[2617], [7079], [2608], [9840], [], [], [7064], [8476], [13030]]	[[], ['direction%1:15:00::', 'way%1:15:00::', 'interrogation%1:10:01::', 'interrogative%1:10:00::', 'interrogative_sentence%1:10:00::', 'question%1:10:03::', 'go%2:38:00::', 'locomote%2:38:00::', 'move%2:38:03::', 'travel%2:38:00::', 'channelise%2:38:03::', 'channelize%2:38:03::', 'direct%2:38:03::', 'guide%2:38:01::', 'head%2:38:01::', 'maneuver%2:38:00::', 'manoeuver%2:38:00::', 'manoeuvre%2:38:00::', 'point%2:38:05::', 'steer%2:38:00::'], [], ['ask%2:32:04::', 'enquire%2:32:00::', 'inquire%2:32:01::', 'demand%2:32:06::', 'query%2:32:00::', 'question%2:32:00::'], [], [], [], [], ['device%1:06:00::', 'machine%1:06:00::']]
doc1	je vais tester votre audition	[[2617], [7079], [2474], [12285], [30799]]	[[], ['direction%1:15:00::', 'way%1:15:00::', 'interrogation%1:10:01::', 'interrogative%1:10:00::', 'interrogative_sentence%1:10:00::', 'question%1:10:03::', 'go%2:38:00::', 'locomote%2:38:00::', 'move%2:38:03::', 'travel%2:38:00::', 'channelise%2:38:03::', 'channelize%2:38:03::', 'direct%2:38:03::', 'guide%2:38:01::', 'head%2:38:01::', 'maneuver%2:38:00::', 'manoeuver%2:38:00::', 'manoeuvre%2:38:00::', 'point%2:38:05::', 'steer%2:38:00::'], ['see%2:39:00::', 'look%2:39:00::', 'consider%2:39:08::', 'look_at%2:39:01::', 'view%2:39:00::', 'observe%2:39:00::'], [''], ['audiology%1:09:00::', 'audiometry%1:09:00::', 'audiometry%1:04:00::']]
doc1	ça ne fera pas mal	[[6906], [], [30620], [5526], []]	[[], [], ['hurt%2:29:02::', 'suffer%2:29:00::', 'ache%2:39:01::', 'hurt%2:39:01::', 'suffer%2:39:00::', 'hurt%2:29:02::', 'suffer%2:29:00::', 'ache%2:39:01::', 'hurt%2:39:01::', 'suffer%2:39:00::'], ['no%1:10:00::', 'no%4:02:00::', 'no%4:02:01::'], []]
doc1	de quel pays venez vous	[[7074], [22620], [35431], [7079], [2608]]	[[], [], ['country%1:15:00::', 'land%1:15:02::', 'state%1:15:00::'], ['direction%1:15:00::', 'way%1:15:00::', 'interrogation%1:10:01::', 'interrogative%1:10:00::', 'interrogative_sentence%1:10:00::', 'question%1:10:03::', 'go%2:38:00::', 'locomote%2:38:00::', 'move%2:38:03::', 'travel%2:38:00::', 'channelise%2:38:03::', 'channelize%2:38:03::', 'direct%2:38:03::', 'guide%2:38:01::', 'head%2:38:01::', 'maneuver%2:38:00::', 'manoeuver%2:38:00::', 'manoeuvre%2:38:00::', 'point%2:38:05::', 'steer%2:38:00::'], []]
doc1	quel âge avez vous	[[22620], [7072], [9001], [2608]]	[[], ['age%1:28:00::', 'eld%1:28:01::', 'interrogation%1:10:01::', 'interrogative%1:10:00::', 'interrogative_sentence%1:10:00::', 'question%1:10:03::'], ['be%2:42:00::', 'exist%2:42:00::'], []]
doc1	avez vous déjà vu votre dermatologue pour ce cas	[[9001], [2608], [37162], [2474], [12285], [34373], [7194], [6906], []]	[['be%2:42:00::', 'exist%2:42:00::'], [], ['again%4:02:00::', 'once_again%4:02:00::', 'once_more%4:02:00::', 'over_again%4:02:00::'], ['see%2:39:00::', 'look%2:39:00::', 'consider%2:39:08::', 'look_at%2:39:01::', 'view%2:39:00::', 'observe%2:39:00::'], [''], ['dermatologist%1:18:00::', 'skin_doctor%1:18:00::'], [], [], []]
doc1	êtes vous déjà venu aux urgences pour ce cas	[[5858], [2608], [37162], [7079], [7034], [3116], [7194], [6906], []]	[['be%2:42:03::', 'be%2:42:06::'], [], ['again%4:02:00::', 'once_again%4:02:00::', 'once_more%4:02:00::', 'over_again%4:02:00::'], ['direction%1:15:00::', 'way%1:15:00::', 'interrogation%1:10:01::', 'interrogative%1:10:00::', 'interrogative_sentence%1:10:00::', 'question%1:10:03::', 'go%2:38:00::', 'locomote%2:38:00::', 'move%2:38:03::', 'travel%2:38:00::', 'channelise%2:38:03::', 'channelize%2:38:03::', 'direct%2:38:03::', 'guide%2:38:01::', 'head%2:38:01::', 'maneuver%2:38:00::', 'manoeuver%2:38:00::', 'manoeuvre%2:38:00::', 'point%2:38:05::', 'steer%2:38:00::'], [], ['hospital%1:14:00::', 'hospital%1:06:00::', 'infirmary%1:06:00::', 'clinic%1:06:00::', 'clinic%1:14:00::'], [], [], []]
doc1	avez vous eu un scanner	[[9001], [2608], [], [8474], [30705]]	[['be%2:42:00::', 'exist%2:42:00::'], [], [], [], ['imaging%1:04:00::', 'tomography%1:04:00::', 'tomograph%1:06:00::', 'cat%1:04:00::', 'computed_axial_tomography%1:04:00::', 'computed_tomography%1:04:00::', 'computerized_axial_tomography%1:04:00::', 'computerized_tomography%1:04:00::', 'ct%1:04:00::']]
doc1	comprenez vous ce que je dis	[[11697], [2608], [8476], [11351], [2617], [9692]]	[['interpret%2:31:02::', 'read%2:31:04::', 'translate%2:31:00::', 'understand%2:31:03::', 'apprehensible%5:00:00:comprehensible:00', 'graspable%5:00:00:comprehensible:00', 'intelligible%5:00:00:comprehensible:00', 'perceivable%5:00:00:comprehensible:00', 'understandable%5:00:00:comprehensible:00'], [], [], [''], [], ['articulate%2:32:00::', 'enounce%2:32:00::', 'enunciate%2:32:01::', 'pronounce%2:32:01::', 'say%2:32:02::', 'sound_out%2:32:01::', 'say%2:32:00::', 'state%2:32:00::', 'tell%2:32:04::', 'express%2:32:00::', 'give_tongue_to%2:32:00::', 'utter%2:32:01::', 'verbalise%2:32:03::', 'verbalize%2:32:03::']]
doc1	des gens dans votre entourage sont ils malades	[[8477], [7116], [7034], [12285], [2392], [5858], [], [28742]]	[[], ['group%1:03:00::', 'grouping%1:03:00::', 'staff%1:14:01::', 'people%1:14:00::'], [], [''], ['family%1:14:00::', 'family_unit%1:14:00::'], ['be%2:42:03::', 'be%2:42:06::'], [], ['ill%3:00:01::', 'sick%3:00:01::', 'illness%1:26:00::', 'malady%1:26:00::', 'sickness%1:26:00::', 'unwellness%1:26:00::', 'patient%1:18:00::', 'come_down%2:29:00::', 'sicken%2:29:00::']]
doc1	quand vous urinez est ce que ça brûle	[[22621], [2608], [3429], [], [], [], [6906], [36155]]	[[], [], ['make%2:29:01::', 'make_water%2:29:00::', 'micturate%2:29:00::', 'pass_water%2:29:00::', 'pee%2:29:00::', 'pee-pee%2:29:00::', 'piddle%2:29:00::', 'piss%2:29:00::', 'puddle%2:29:00::', 'relieve_oneself%2:29:00::', 'spend_a_penny%2:29:00::', 'take_a_leak%2:29:00::', 'urinate%2:29:00::', 'wee%2:29:00::', 'wee-wee%2:29:00::'], [], [], [], [], ['burn%2:43:02::', 'combust%2:43:02::']]
doc1	ouvrez les yeux s'il vous plaît	[[10138], [10138], [10138], [8195], [8185], [8195], [8195]]	[['open%2:35:00::', 'open_up%2:35:00::'], ['open%2:35:00::', 'open_up%2:35:00::'], ['open%2:35:00::', 'open_up%2:35:00::'], ['act%2:29:00::', 'behave%2:29:00::', 'do%2:29:09::', 'please%4:02:00::', 'beg%2:32:00::', 'implore%2:32:00::', 'pray%2:32:01::', 'beg%2:32:01::', 'solicit%2:32:00::', 'tap%2:32:00::'], ['peru%1:15:00::', 'republic_of_peru%1:15:00::'], ['act%2:29:00::', 'behave%2:29:00::', 'do%2:29:09::', 'please%4:02:00::', 'beg%2:32:00::', 'implore%2:32:00::', 'pray%2:32:01::', 'beg%2:32:01::', 'solicit%2:32:00::', 'tap%2:32:00::'], ['act%2:29:00::', 'behave%2:29:00::', 'do%2:29:09::', 'please%4:02:00::', 'beg%2:32:00::', 'implore%2:32:00::', 'pray%2:32:01::', 'beg%2:32:01::', 'solicit%2:32:00::', 'tap%2:32:00::']]
doc1	je vais palper le ventre	[[2617], [7079], [3293], [8476], [2786]]	[[], ['direction%1:15:00::', 'way%1:15:00::', 'interrogation%1:10:01::', 'interrogative%1:10:00::', 'interrogative_sentence%1:10:00::', 'question%1:10:03::', 'go%2:38:00::', 'locomote%2:38:00::', 'move%2:38:03::', 'travel%2:38:00::', 'channelise%2:38:03::', 'channelize%2:38:03::', 'direct%2:38:03::', 'guide%2:38:01::', 'head%2:38:01::', 'maneuver%2:38:00::', 'manoeuver%2:38:00::', 'manoeuvre%2:38:00::', 'point%2:38:05::', 'steer%2:38:00::'], ['adjoin%2:35:03::', 'contact%2:35:03::', 'meet%2:35:00::', 'touch%2:35:01::', 'touch%2:35:00::', 'touch%2:39:00::', 'touch%2:35:04::'], [], ['belly%1:08:02::', 'paunch%1:08:00::', 'abdomen%1:08:00::', 'belly%1:08:00::', 'stomach%1:08:01::', 'venter%1:08:00::', 'bay_window%1:08:00::', 'corporation%1:08:00::', 'pot%1:08:00::', 'potbelly%1:08:00::', 'tummy%1:08:01::']]
doc1	êtes vous sourd d'une oreille	[[5858], [2608], [4748], [7074], [8474], [2871]]	[['be%2:42:03::', 'be%2:42:06::'], [], ['deaf%3:00:00::'], [], [], ['auricle%1:08:02::', 'ear%1:08:01::', 'pinna%1:08:00::']]
doc1	merci beaucoup	[[8128], [5521]]	[['thanks%1:10:00::', 'thanks%1:04:00::', 'give_thanks%2:32:04::', 'thank%2:32:00::'], ['a_good_deal%4:02:00::', 'a_great_deal%4:02:00::', 'a_lot%4:02:00::', 'lots%4:02:00::', 'much%4:02:04::', 'very_much%4:02:01::', 'much%4:02:00::', 'a_good_deal%4:02:00::', 'a_great_deal%4:02:00::', 'a_lot%4:02:00::', 'lots%4:02:00::', 'much%4:02:04::', 'very_much%4:02:01::']]
doc1	la douleur est elle difficile à situer	[[8476], [2367], [5858], [4629], [4629], [7041], [6989]]	[[], ['hurting%1:26:00::', 'pain%1:26:00::', 'pain%1:09:00::', 'pain_sensation%1:09:00::', 'painful_sensation%1:09:00::'], ['be%2:42:03::', 'be%2:42:06::'], ['difficult%3:00:00::', 'hard%3:00:06::', 'complex%5:00:01:complex:00', 'complicated%5:00:00:complex:00'], ['difficult%3:00:00::', 'hard%3:00:06::', 'complex%5:00:01:complex:00', 'complicated%5:00:00:complex:00'], [], ['lay%2:35:01::', 'place%2:35:00::', 'pose%2:35:02::', 'position%2:35:00::', 'put%2:35:00::', 'set%2:35:00::', 'put%2:35:05::']]
doc1	pouvez vous décrire la douleur	[[11750], [2608], [9692], [8476], [2367]]	[[''], [], ['articulate%2:32:00::', 'enounce%2:32:00::', 'enunciate%2:32:01::', 'pronounce%2:32:01::', 'say%2:32:02::', 'sound_out%2:32:01::', 'say%2:32:00::', 'state%2:32:00::', 'tell%2:32:04::', 'express%2:32:00::', 'give_tongue_to%2:32:00::', 'utter%2:32:01::', 'verbalise%2:32:03::', 'verbalize%2:32:03::'], [], ['hurting%1:26:00::', 'pain%1:26:00::', 'pain%1:09:00::', 'pain_sensation%1:09:00::', 'painful_sensation%1:09:00::']]
doc1	les vertiges sont ils fréquents	[[8477], [7155], [5858], [], [37029]]	[[], ['dizzy%2:30:00::'], ['be%2:42:03::', 'be%2:42:06::'], [], ['frequently%4:02:00::', 'oft%4:02:00::', 'often%4:02:00::', 'oftentimes%4:02:00::', 'ofttimes%4:02:00::']]
doc1	avez vous mal à la tête après avoir bu	[[9001], [2608], [28651], [28651], [28651], [28651], [7818], [9001], [2276]]	[['be%2:42:00::', 'exist%2:42:00::'], [], ['cephalalgia%1:26:00::', 'head_ache%1:26:00::', 'headache%1:26:00::'], ['cephalalgia%1:26:00::', 'head_ache%1:26:00::', 'headache%1:26:00::'], ['cephalalgia%1:26:00::', 'head_ache%1:26:00::', 'headache%1:26:00::'], ['cephalalgia%1:26:00::', 'head_ache%1:26:00::', 'headache%1:26:00::'], [''], ['be%2:42:00::', 'exist%2:42:00::'], ['drink%2:34:00::', 'imbibe%2:34:00::']]
doc1	la douleur à la tête augmente t elle quand vous êtes fatigué	[[8476], [28651], [28651], [28651], [28651], [19572], [], [], [22621], [2608], [5858], [2314]]	[[], ['cephalalgia%1:26:00::', 'head_ache%1:26:00::', 'headache%1:26:00::'], ['cephalalgia%1:26:00::', 'head_ache%1:26:00::', 'headache%1:26:00::'], ['cephalalgia%1:26:00::', 'head_ache%1:26:00::', 'headache%1:26:00::'], ['cephalalgia%1:26:00::', 'head_ache%1:26:00::', 'headache%1:26:00::'], ['advance%1:04:01::', 'rise%1:04:01::', 'rise%1:11:00::', 'boost%1:07:00::', 'cost_increase%1:07:00::', 'hike%1:07:01::', 'rise%1:07:03::', 'climb%2:30:01::', 'go_up%2:30:00::', 'rise%2:30:00::'], [], [], [], [], ['be%2:42:03::', 'be%2:42:06::'], ['tired%3:00:00::', 'dog-tired%5:00:00:tired:00', 'exhausted%5:00:00:tired:00', 'fagged%5:00:00:tired:00', 'fatigued%5:00:00:tired:00', 'gone%5:00:00:tired:00', 'played_out%5:00:00:tired:00', 'spent%5:00:00:tired:00', 'washed-out%5:00:00:tired:00', 'worn-out%5:00:00:tired:00', 'worn_out%5:00:00:tired:00']]
doc1	mangez vous beaucoup de viande rouge	[[2349], [2608], [5521], [7074], [2316], [2808]]	[['eat%2:34:00::', 'consume%2:34:00::', 'have%2:34:00::', 'ingest%2:34:00::', 'take%2:34:00::', 'take_in%2:34:00::'], [], ['a_good_deal%4:02:00::', 'a_great_deal%4:02:00::', 'a_lot%4:02:00::', 'lots%4:02:00::', 'much%4:02:04::', 'very_much%4:02:01::', 'much%4:02:00::', 'a_good_deal%4:02:00::', 'a_great_deal%4:02:00::', 'a_lot%4:02:00::', 'lots%4:02:00::', 'much%4:02:04::', 'very_much%4:02:01::'], [], ['meat%1:13:01::'], ['blood-red%5:00:00:chromatic:00', 'carmine%5:00:00:chromatic:00', 'cerise%5:00:00:chromatic:00', 'cherry%5:00:00:chromatic:00', 'cherry-red%5:00:00:chromatic:00', 'crimson%5:00:00:chromatic:00', 'red%5:00:01:chromatic:00', 'reddish%5:00:00:chromatic:00', 'ruby%5:00:00:chromatic:00', 'ruby-red%5:00:00:chromatic:00', 'ruddy%5:00:00:chromatic:00', 'scarlet%5:00:00:chromatic:00']]
doc1	depuis combien de jours avez vous des problèmes de respiration	[[7077], [7073], [7074], [7022], [9001], [2608], [8477], [5504], [7074], [34377]]	[[], ['amount%1:03:00::', 'measure%1:03:00::', 'quantity%1:03:00::', 'interrogation%1:10:01::', 'interrogative%1:10:00::', 'interrogative_sentence%1:10:00::', 'question%1:10:03::'], [], ['day%1:28:02::', 'daylight%1:28:00::', 'daytime%1:28:00::'], ['be%2:42:00::', 'exist%2:42:00::'], [], [], ['bad%3:00:00::'], [], ['a_capella%4:02:00::', 'a_cappella%4:02:00::', 'able%3:00:00::', 'breathe%2:29:00::', 'entity%1:03:00::', 'respire%2:29:00::', 'suspire%2:29:03::', 'take_a_breath%2:29:00::']]
