sentence	pictos_ref_ids	sense_keys
êtes vous tombé 	[[], [], [4582, 6067, 29674]]	[[], [], ['fall%2:38:03::', 'fall%2:38:15::', 'fall%2:38:14::']]
avez vous des difficultés à marcher 	[[], [], [], [], [], [3251, 6044, 8649, 8651, 31839, 32214, 32693, 32694, 32908, 32944, 32945, 32946, 37345, 2432, 7079, 8142, 31758, 35093]]	[[], [], [], [], [], ['walk%2:38:00::', 'take_the_air%2:38:00::', 'go%2:38:00::']]
je vais m'occuper de vous aujourd'hui	[[], [], [], [], [], [], [13026, 32747], [13026, 32747]]	[[], [], [], [], [], [], ['now%4:02:00::'], ['now%4:02:00::']]
depuis aujourd'hui 	[[], [13026, 32747], [13026, 32747]]	[[], ['now%4:02:00::'], ['now%4:02:00::']]
voulez vous vous coucher ici 	[[5441, 31141, 36518], [], [], [], []]	[['desire%2:37:00::', 'want%2:31:01::'], [], [], [], []]
voulez vous bien vous mettre debout 	[[5441, 31141, 36518], [], [], [], [], []]	[['desire%2:37:00::', 'want%2:31:01::'], [], [], [], [], []]
voulez vous bien retirer votre pull 	[[5441, 31141, 36518], [], [], [], [], []]	[['desire%2:37:00::', 'want%2:31:01::'], [], [], [], [], []]
avez vous d'autres problèmes de santé 	[[], [], [], [17054], [], [], []]	[[], [], [], ['other%3:00:00::', 'another%5:00:00:other:00'], [], [], []]
avez vous d'autres plaintes 	[[], [], [], [17054], []]	[[], [], [], ['other%3:00:00::', 'another%5:00:00:other:00'], []]
prenez vous un autre médicament 	[[], [], [], [17054], []]	[[], [], [], ['other%3:00:00::', 'another%5:00:00:other:00'], []]
la douleur au ventre irradie t elle vers un autre endroit 	[[], [], [], [], [], [], [], [], [], [17054], []]	[[], [], [], [], [], [], [], [], [], ['other%3:00:00::', 'another%5:00:00:other:00'], []]
consommez vous d'autres drogues 	[[], [], [], [17054], []]	[[], [], [], ['other%3:00:00::', 'another%5:00:00:other:00'], []]
avez vous reçu un coup à l'endroit de la douleur 	[[], [], [], [], [], [], [], [9819], [], [], []]	[[], [], [], [], [], [], [], ['place%1:09:00::'], [], [], []]
la douleur au ventre irradie t elle vers un autre endroit 	[[], [], [], [], [], [], [], [], [], [], [9819]]	[[], [], [], [], [], [], [], [], [], [], ['place%1:09:00::']]
êtes vous souvent assis	[[], [], [], [11371, 11372]]	[[], [], [], ['sit%2:42:00::', 'sit_around%2:42:00::']]
avez vous mal quand vous vous asseyez 	[[], [], [], [], [], [], [11371, 11372]]	[[], [], [], [], [], [], ['sit%2:42:00::', 'sit_around%2:42:00::']]
asseyez vous	[[11371, 11372], []]	[['sit%2:42:00::'], []]
mangez vous beaucoup de riz ou de pâtes 	[[], [], [], [], [], [], [], [8652]]	[[], [], [], [], [], [], [], ['alimentary_paste%1:13:00::']]
avez vous très mal dans la poitrine 	[[], [], [], [], [], [], [2853, 7275, 8372]]	[[], [], [], [], [], [], ['boob%1:08:00::']]
avez vous eu une opération de la poitrine 	[[], [], [], [], [], [], [], [2853, 7275, 8372]]	[[], [], [], [], [], [], [], ['boob%1:08:00::']]
avez vous l'impression d'avoir un poids sur la poitrine 	[[], [], [], [], [], [], [], [], [], [], [2853, 7275, 8372]]	[[], [], [], [], [], [], [], [], [], [], ['boob%1:08:00::']]
avez vous reçu un coup au niveau de la poitrine 	[[], [], [], [], [], [], [], [], [], [2853, 7275, 8372]]	[[], [], [], [], [], [], [], [], [], ['boob%1:08:00::']]
il y a combien de jours que vous avez eu ce traumatisme à la poitrine	[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [2853, 7275, 8372]]	[[], [], [], [], [], [], [], [], [], [], [], [], [], [], ['boob%1:08:00::']]
pouvez vous ramener les genoux vers la poitrine 	[[], [], [], [], [], [], [], [2853, 7275, 8372]]	[[], [], [], [], [], [], [], ['boob%1:08:00::']]
avez vous un drôle de goût dans la bouche 	[[], [], [], [11355], [], [], [], [], []]	[[], [], [], ['curious%5:00:00:strange:00'], [], [], [], [], []]
avez vous eu une opération du ventre 	[[], [], [], [], [27925, 28019, 31989], [], []]	[[], [], [], [], ['operation%1:04:00::', 'operating_room%1:06:00::'], [], []]
avez vous eu une opération de l'appendicite 	[[], [], [], [], [27925, 28019, 31989], [], [], []]	[[], [], [], [], ['operation%1:04:00::', 'operating_room%1:06:00::'], [], [], []]
de combien de mètres êtes vous tombé 	[[], [], [], [29074], [], [], []]	[[], [], [], ['m%1:23:00::'], [], [], []]
quel âge ont vos enfants 	[[], [7072], [], [], []]	[[], ['age%1:28:00::'], [], [], []]
quel âge avez vous 	[[], [7072], [], []]	[[], ['age%1:28:00::'], [], []]
à quel âge avez vous commencé à fumer 	[[], [], [7072], [], [], [], [], []]	[[], [], ['age%1:28:00::'], [], [], [], [], []]
quel âge ont vos enfants 	[[], [], [], [], [7178]]	[[], [], [], [], ['baby%1:18:03::']]
pouvez vous me montrer ce qui vous amène 	[[], [], [], [], [], [], [], [8994]]	[[], [], [], [], [], [], [], ['conduct%2:38:01::']]
vous devez porter un masque	[[], [], [], [], [9169, 35613, 36791, 36793, 37040, 37267]]	[[], [], [], [], ['mask%1:06:01::']]
prenez vous un moyen de contraception 	[[], [], [], [], [], [31779, 31788, 31811, 32035, 32037, 32041, 32043]]	[[], [], [], [], [], ['contraception%1:04:00::']]
avez vous des fourmillements dans les membres 	[[], [], [], [], [], [], [29086]]	[[], [], [], [], [], [], ['appendage%1:08:00::']]
si des membres de votre entourage vivant sous le même toit présentent les mêmes symptômes ils doivent consulter	[[], [], [29086], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]	[[], [], ['appendage%1:08:00::'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]
avez vous des vertiges au repos 	[[], [], [], [], [], [24503]]	[[], [], [], [], [], ['relief%1:28:00::']]
urinez vous souvent en petite quantité 	[[], [], [], [], [4716], []]	[[], [], [], [], ['little%3:00:01::', 'little%3:00:00::'], []]
votre travail se passe t il bien 	[[], [11601, 16087, 16089, 19559], [], [], [], [], []]	[[], ['employment%1:04:00::', 'business%1:04:00::'], [], [], [], [], []]
vous rincez vous la bouche après avoir utilisé le médicament 	[[], [8559, 8560, 27784, 30032, 30038, 30039], [], [], [], [], [], [], [], []]	[[], ['gargle%2:29:00::'], [], [], [], [], [], [], [], []]
vous êtes vous déjà cassé une côte 	[[], [], [], [], [], [], [5433]]	[[], [], [], [], [], [], ['costa%1:08:01::']]
l'ordinateur va traduire mes questions	[[], [], [], [], [], [7217, 9843, 10366, 10369]]	[[], [], [], [], [], ['enquiry%1:10:00::', 'interrogation%1:10:01::']]
votre dos s'est déjà bloqué avant 	[[], [], [], [], [], [], [13028, 32745]]	[[], [], [], [], [], [], ['before%4:02:03::']]
avez vous des difficultés à bouger une partie de votre corps 	[[], [], [], [], [], [], [], [5436], [], [], []]	[[], [], [], [], [], [], [], ['division%1:09:00::'], [], [], []]
avez vous des animaux à la maison 	[[], [], [], [], [], [], [2317, 5957, 6964]]	[[], [], [], [], [], [], ['house%1:06:00::']]
avez vous eu un bleu sur la cheville 	[[], [], [], [], [], [], [], [3405]]	[[], [], [], [], [], [], [], ['ankle%1:08:00::']]
utilisez vous des seringues usagées 	[[], [], [], [31732], []]	[[], [], [], ['syringe%1:06:00::'], []]
vous protégez vous la peau du soleil 	[[], [], [], [], [], [], [2798, 7252, 10725]]	[[], [], [], [], [], [], ['sun%1:19:00::', 'sun%1:17:00::']]
quel est votre poids 	[[], [], [], [33128]]	[[], [], [], ['weight%1:07:00::']]
quelle était votre température maximale 	[[], [], [], [8230, 34898], []]	[[], [], [], ['temperature%1:07:00::'], []]
avez vous reçu une greffe d'organes 	[[], [], [], [], [], [], [24214], []]	[[], [], [], [], [], [], ['organ%1:08:00::'], []]
vos douleurs durent elles quelques secondes 	[[], [], [], [], [], [22633, 29104, 29105, 29106, 29107]]	[[], [], [], [], [], ['bit%1:28:00::']]
la douleur change t elle de place 	[[], [], [], [], [], [], [9819]]	[[], [], [], [], [], [], ['lieu%1:04:00::', 'place%1:15:05::', 'place%1:09:00::']]
avez vous parfois mal à l'arrière de la cuisse 	[[], [], [], [], [], [], [], [], [], [22185]]	[[], [], [], [], [], [], [], [], [], ['thigh%1:08:00::']]
avez vous terminé les antibiotiques 	[[], [], [28429], [], []]	[[], [], ['cease%2:42:13::'], [], []]
nous allons vous donner de l’oxygène avec un masque	[[], [], [], [17038, 17040, 28431], [], [], [], [], [], []]	[[], [], [], ['give%2:40:00::', 'give%2:40:06::'], [], [], [], [], [], []]
nous allons vous donner un rendez vous pour enlever le plâtre dans une semaine	[[], [], [], [17038, 17040, 28431], [], [], [], [], [], [], [], [], [], []]	[[], [], [], ['give%2:40:00::', 'give%2:40:06::'], [], [], [], [], [], [], [], [], [], []]
votre accouchement s'est il bien passé 	[[], [31706, 31707, 31769, 31959, 32019, 32021, 32022], [], [], [], [], []]	[[], ['childbed%1:26:00::'], [], [], [], [], []]
il faut enlever les lentilles	[[], [], [], [], [28511]]	[[], [], [], [], ['contact%1:06:01::']]
vous devez rester couché pour le moment	[[], [], [27206], [], [], [], []]	[[], [], ['remain%2:42:05::'], [], [], [], []]
avez vous soulevé quelque chose de lourd 	[[], [], [35101, 36073, 37521, 37522], [], [], [], []]	[[], [], ['bring_up%2:38:00::'], [], [], [], []]
à quelle date ont commencé les symptômes 	[[], [], [27411], [], [], [], []]	[[], [], ['date%1:28:00::'], [], [], [], []]
la douleur à la tête augmente t elle quand vous êtes fatigué 	[[], [], [], [], [], [], [], [], [], [], [], []]	[[], [], [], [], [], [], [], [], [], [], [], []]
nous allons faire un scanner	[[], [], [], [], [30705, 30797]]	[[], [], [], [], ['cat%1:04:00::']]
avez vous déjà eu une fracture dans votre vie 	[[], [], [], [], [], [], [], [], [8717]]	[[], [], [], [], [], [], [], [], ['life%1:28:01::']]
la douleur est elle difficile à situer 	[[], [], [], [], [], [], [30136]]	[[], [], [], [], [], [], ['arouse%2:37:00::']]
votre mère ou votre sœur a t elle eu un cancer du sein 	[[], [], [], [], [2422], [], [], [], [], [], [], [], []]	[[], [], [], [], ['sis%1:18:00::'], [], [], [], [], [], [], [], []]
avez vous actuellement un traitement pour le sida 	[[], [], [13026, 32747], [], [], [], [], []]	[[], [], ['now%4:02:00::'], [], [], [], [], []]
depuis combien d'heures avez vous mal 	[[], [], [], [29175], [], [], []]	[[], [], [], ['clock_time%1:28:00::'], [], [], []]
si des membres de votre entourage vivant sous le même toit présentent les mêmes symptômes ils doivent consulter	[[], [], [], [], [], [], [], [], [], [], [], [11308, 16823, 31902], [], [], [], [], [], []]	[[], [], [], [], [], [], [], [], [], [], [], ['demo%2:39:00::'], [], [], [], [], [], []]
je vais vous prescrire une paire de cannes anglaises	[[], [], [], [], [], [], [], [5922], []]	[[], [], [], [], [], [], [], ['walking_stick%1:06:00::'], []]
la douleur au ventre augmente t elle avec certains mouvements 	[[], [], [], [], [], [], [], [], [], [32592]]	[[], [], [], [], [], [], [], [], [], ['gesture%1:10:00::']]
la douleur diminue t elle avec le mouvement 	[[], [], [], [], [], [], [], [32592]]	[[], [], [], [], [], [], [], ['gesture%1:10:00::']]
montrez moi les mouvements qui aggravent la douleur	[[], [], [], [32592], [], [], [], []]	[[], [], [], ['gesture%1:10:00::'], [], [], [], []]
montrez moi un mouvement qui déclenche la douleur	[[], [], [], [32592], [], [], [], []]	[[], [], [], ['gesture%1:10:00::'], [], [], [], []]
avez vous fait un faux mouvement 	[[], [], [], [], [], [32592]]	[[], [], [], [], [], ['gesture%1:10:00::']]
vos jambes sont elles faibles 	[[], [], [], [], [4620, 10199, 25044]]	[[], [], [], [], ['weak%3:00:00::', 'faint%5:00:00:weak:00']]
vos selles flottent elles 	[[], [], [21876, 32904], []]	[[], [], ['float%2:38:01::'], []]
avez vous l'impression que tout tourne autour de vous 	[[], [], [], [], [], [], [6006], [], [], []]	[[], [], [], [], [], [], ['turn%2:38:02::'], [], [], []]
